,City,FAA,IATA,ICAO,Airport,Role,Enplanements,State
350,TRI-CITIES,TRI,TRI,KTRI,Tri-Cities Regional Airport (Tri-Cities Regional TN/VA),P-N,204926.0,TENNESSEE
352,ABILENE,ABI,ABI,KABI,Abilene Regional Airport,P-N,84809.0,TEXAS
353,AMARILLO,AMA,AMA,KAMA,Rick Husband Amarillo International Airport,P-N,334815.0,TEXAS
354,AUSTIN,AUS,AUS,KAUS,Austin–Bergstrom International Airport,P-M,6095545.0,TEXAS
355,BEAUMONT,BPT,BPT,KBPT,Jack Brooks Regional Airport (was Southeast Texas Regional),P-N,26518.0,TEXAS
356,BROWNSVILLE,BRO,BRO,KBRO,Brownsville/South Padre Island International Airport,P-N,120151.0,TEXAS
357,COLLEGE STATION,CLL,CLL,KCLL,Easterwood Airport (Easterwood Field),P-N,78907.0,TEXAS
358,CORPUS CHRISTI,CRP,CRP,KCRP,Corpus Christi International Airport,P-N,325815.0,TEXAS
359,DALLAS,DAL,DAL,KDAL,Dallas Love Field,P-M,7554596.0,TEXAS
360,DALLAS,DFW,DFW,KDFW,Dallas/Fort Worth International Airport,P-L,31283579.0,TEXAS
361,EL PASO,ELP,ELP,KELP,El Paso International Airport,P-S,1414376.0,TEXAS
362,HARLINGEN,HRL,HRL,KHRL,Valley International Airport,P-N,263760.0,TEXAS
363,HOUSTON,IAH,IAH,KIAH,George Bush Intercontinental Airport,P-L,20062072.0,TEXAS
364,HOUSTON,HOU,HOU,KHOU,William P. Hobby Airport,P-M,6285181.0,TEXAS
365,KILLEEN,GRK,GRK,KGRK,Killeen–Fort Hood Regional Airport / Robert Gray Army Airfield,P-N,157161.0,TEXAS
366,LAREDO,LRD,LRD,KLRD,Laredo International Airport,P-N,101115.0,TEXAS
367,LONGVIEW,GGG,GGG,KGGG,East Texas Regional Airport,P-N,22480.0,TEXAS
368,LUBBOCK,LBB,LBB,KLBB,Lubbock Preston Smith International Airport,P-S,448093.0,TEXAS
369,MCALLEN,MFE,MFE,KMFE,McAllen Miller International Airport,P-N,355224.0,TEXAS
370,MIDLAND,MAF,MAF,KMAF,Midland International Air and Space Port,P-S,471490.0,TEXAS
371,SAN ANGELO,SJT,SJT,KSJT,San Angelo Regional Airport (Mathis Field),P-N,60277.0,TEXAS
372,SAN ANTONIO,SAT,SAT,KSAT,San Antonio International Airport,P-M,4179994.0,TEXAS
373,TYLER,TYR,TYR,KTYR,Tyler Pounds Regional Airport,P-N,52494.0,TEXAS
374,WACO,ACT,ACT,KACT,Waco Regional Airport,P-N,64356.0,TEXAS
375,WICHITA FALLS,SPS,SPS,KSPS,Wichita Falls Regional Airport / Sheppard Air Force Base,P-N,40165.0,TEXAS
377,CEDAR CITY,CDC,CDC,KCDC,Cedar City Regional Airport,P-N,14413.0,UTAH
378,MOAB,CNY,CNY,KCNY,Canyonlands Field,P-N,7837.0,UTAH
379,OGDEN,OGD,OGD,KOGD,Ogden-Hinckley Airport,P-N,15609.0,UTAH
380,PROVO,PVU,PVU,KPVU,Provo Municipal Airport,P-N,78451.0,UTAH
381,SALT LAKE CITY,SLC,SLC,KSLC,Salt Lake City International Airport,P-L,11143738.0,UTAH
382,ST. GEORGE,SGU,SGU,KSGU,St. George Regional Airport (opened 2011),P-N,78680.0,UTAH
383,VERNAL,VEL,VEL,KVEL,Vernal Regional Airport (was Vernal-Uintah Co. Airport),P-N,4007.0,UTAH
385,BURLINGTON,BTV,BTV,KBTV,Burlington International Airport,P-S,593311.0,VERMONT
387,CHARLOTTESVILLE,CHO,CHO,KCHO,Charlottesville–Albemarle Airport,P-N,295930.0,VIRGINIA
388,LYNCHBURG,LYH,LYH,KLYH,Lynchburg Regional Airport (Preston Glenn Field),P-N,75465.0,VIRGINIA
389,NEWPORT NEWS,PHF,PHF,KPHF,Newport News/Williamsburg International Airport (Patrick Henry Field),P-N,199421.0,VIRGINIA
390,NORFOLK,ORF,ORF,KORF,Norfolk International Airport,P-S,1602631.0,VIRGINIA
391,RICHMOND,RIC,RIC,KRIC,Richmond International Airport (Byrd Field),P-S,1777648.0,VIRGINIA
392,ROANOKE,ROA,ROA,KROA,Roanoke–Blacksburg Regional Airport (Woodrum Field),P-N,305212.0,VIRGINIA
393,STAUNTON / WAYNESBORO / HARRISONBURG,SHD,SHD,KSHD,Shenandoah Valley Regional Airport,P-N,5442.0,VIRGINIA
394,"WASHINGTON, D.C. / ARLINGTON COUNTY",DCA,DCA,KDCA,Ronald Reagan Washington National Airport,P-L,11470854.0,VIRGINIA
395,"WASHINGTON, D.C. / DULLES / CHANTILLY",IAD,IAD,KIAD,Washington Dulles International Airport,P-L,10596942.0,VIRGINIA
